Gender,Annual.Salary,Department,Department.Name,Assignment,Position.Title,Date.Hired
M,77143.3641,DLC,Department of Liquor Control,Fulltime,Alcohol Beverage Purchasing Specialist,11/30/1987
F,104188.59,HHS,Department of Health and Human Services,Fulltime,Program Manager II,03/04/1980
M,157244.92,CAT,County Attorney's Office,Fulltime,Manager II,09/26/1988
M,90819.54,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/11/2002
F,44608.0476,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,05/18/2014
M,93599.73,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,02/08/1999
F,60022.6234,HHS,Department of Health and Human Services,Parttime,Community Health Nurse II,11/03/2015
M,62615.4948,DGS,Department of General Services,Fulltime,Mechanic Technician II,04/20/2015
F,41215.5888,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,07/30/2013
M,78983,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,03/27/2006
F,104188.59,HHS,Department of Health and Human Services,Fulltime,Management and Budget Specialist III,04/17/2006
F,90950.31,POL,Department of Police,Fulltime,Police Officer III,03/12/2001
M,69568.386,FRS,Fire and Rescue Services,Fulltime,Senior Supply Technician,01/07/2008
M,63395.68,DOT,Department of Transportation,Fulltime,Equipment Operator I,07/03/2000
F,39839.6394,DOT,Department of Transportation,Fulltime,Bus Operator,08/17/2015
M,102182.85,COR,Correction and Rehabilitation,Fulltime,Correctional Shift Commander (Lieutenant),08/16/1999
M,145634.25,POL,Department of Police,Fulltime,Chief Veterinarian,12/01/2014
M,67694.0986,DGS,Department of General Services,Fulltime,Mechanic Technician II,11/13/2007
M,110185.32,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,09/11/2000
M,120442.11,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Captain,04/06/1986
F,60443.2518,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,12/21/1981
M,42067.3484,DOT,Department of Transportation,Fulltime,Bus Operator,12/12/2016
F,71078.8005,HHS,Department of Health and Human Services,Fulltime,Executive Administrative Aide,11/26/2007
M,140177.9,DPS,Department of Permitting Services,Fulltime,Manager II,07/18/1988
M,52685.9074,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
M,39334.8439,DLC,Department of Liquor Control,Fulltime,Supply Technician III,08/11/2014
M,59761.5081,DOT,Department of Transportation,Fulltime,Transit Coordinator,08/14/2006
M,68751.06,POL,Department of Police,Fulltime,Police Officer III,07/16/2012
M,83159,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/02/2008
M,96655.99,POL,Department of Police,Fulltime,Police Sergeant,04/25/1999
M,75671.31,LIB,Department of Public Libraries,Fulltime,Information Technology Technician III,01/16/2001
F,121372,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,10/18/1999
M,70459.62,POL,Department of Police,Fulltime,Police Officer III,08/26/2002
M,72378.9858,LIB,Department of Public Libraries,Fulltime,Library Assistant II,05/04/1987
F,67831.071,FRS,Fire and Rescue Services,Fulltime,Administrative Specialist III,10/06/2008
M,53171.529,DOT,Department of Transportation,Fulltime,Engineer Technician II,03/26/2012
F,65194.4314,DOT,Department of Transportation,Fulltime,Executive Administrative Aide,11/19/2012
F,49790.84,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,06/15/2015
F,69337.5706,HHS,Department of Health and Human Services,Fulltime,Social Worker II,06/06/2011
M,50096.97,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,07/11/2016
M,67046.2947,DOT,Department of Transportation,Fulltime,Depot Supply Coordinator,08/27/1979
M,61980.3,DOT,Department of Transportation,Fulltime,Program Specialist I,10/16/2017
M,118944.56,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,06/05/2000
M,60455,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/02/2011
F,63068.7228,DOT,Department of Transportation,Fulltime,Transit Coordinator,09/20/2004
M,96120.6345,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,08/27/1990
F,67515.14,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,03/01/1999
F,76998.6576,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,01/11/2017
M,43687.059,DOT,Department of Transportation,Fulltime,Equipment Operator I,09/22/2014
M,141234.6672,COR,Correction and Rehabilitation,Fulltime,Manager III,07/29/1990
M,68820.157,DLC,Department of Liquor Control,Fulltime,Liquor Store Manager,03/25/2002
F,79654.79,CCL,County Council,Fulltime,Legislative Senior Aide III,11/22/2010
M,60521.22,POL,Department of Police,Fulltime,Police Officer III,02/24/2014
F,86125.74,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/14/2000
M,45063.9477,DOT,Department of Transportation,Fulltime,Bus Operator,12/22/2014
M,62079.67,REC,Department of Recreation,Fulltime,Recreation Specialist,07/01/2005
F,97456.92,DEP,Department of Environmental Protection,Fulltime,Information Technology Specialist III,06/12/2017
M,82400,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/11/2000
F,138861.1529,FIN,Department of Finance,Fulltime,Program Manager II,05/07/1990
F,75622.7388,SHF,Sheriff's Office,Fulltime,Senior Executive Administrative Aide,07/09/1990
M,107895.8053,COR,Correction and Rehabilitation,Fulltime,Correctional Shift Commander (Lieutenant),03/04/1996
M,81310.05,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/27/2006
F,31910.9298,DLC,Department of Liquor Control,Parttime,Liquor Store Clerk I,12/15/2014
F,58427.71,POL,Department of Police,Fulltime,Police Services Assistant,09/18/2006
M,91869,POL,Department of Police,Fulltime,Police Officer III,08/31/1998
M,79083.8686,DGS,Department of General Services,Fulltime,Mechanic Technician II,09/05/2006
M,74292.6436,REC,Department of Recreation,Fulltime,Recreation Specialist,01/14/2001
M,68751.06,POL,Department of Police,Fulltime,Police Officer III,07/16/2012
M,56474.7964,DOT,Department of Transportation,Fulltime,Bus Operator,03/02/2008
F,89983.0109,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,07/30/2012
M,56822.2263,DGS,Department of General Services,Fulltime,Imaging Operator II,01/01/1996
M,160454,PRO,Office of Procurement,Fulltime,Manager II,05/15/1989
M,74700.45,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,09/04/2007
M,93180.8889,PIO,Office of Public Information,Fulltime,Information Technology Specialist III,04/21/2003
F,45849.8772,DOT,Department of Transportation,Fulltime,Community Services Aide II,03/19/2012
F,35135.43,LIB,Department of Public Libraries,Parttime,Fiscal Assistant,11/05/2001
F,61095.3255,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,02/17/1987
F,39949.54,COR,Correction and Rehabilitation,Fulltime,Principal Administrative Aide,09/05/2017
M,73647.06,POL,Department of Police,Fulltime,Police Officer III,09/10/2012
M,94133.5758,POL,Department of Police,Fulltime,Police Officer III,07/06/1992
F,70250.1921,DPS,Department of Permitting Services,Fulltime,Office Services Coordinator,09/28/1987
M,96491.4408,FIN,Department of Finance,Fulltime,Accountant/Auditor III,12/01/2014
M,48752.073,DOT,Department of Transportation,Fulltime,Bus Operator,10/08/2012
M,23121.8554,LIB,Department of Public Libraries,Parttime,Library Technician,01/16/1990
M,49168.56,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/12/2016
M,92425.26,SHF,Sheriff's Office,Fulltime,Deputy Sheriff III,11/08/1999
M,68755.5072,DGS,Department of General Services,Fulltime,Mechanic Technician II,09/10/2012
M,104194.2159,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Sergeant,09/06/1994
F,56652.4728,PIO,Office of Public Information,Fulltime,Customer Service Representative I,01/18/2011
M,96120.6345,FRS,Fire and Rescue Services,Fulltime,Master Firefighter/Rescuer,09/20/1993
F,106293.41,POL,Department of Police,Fulltime,Management and Budget Specialist III,12/08/2008
F,18514.2573,LIB,Department of Public Libraries,Parttime,Library Assistant I,02/06/2012
M,155676.4803,DOT,Department of Transportation,Fulltime,Manager II,10/04/2004
F,68711.8512,CEX,Offices of the County Executive,Fulltime,Senior Executive Administrative Aide,01/27/2014
M,46533.046,DOT,Department of Transportation,Fulltime,Work Force Leader II,10/20/2014
M,48819.68,DOT,Department of Transportation,Fulltime,Motor Pool Attendant,06/12/2006
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,08/17/1998
F,81167.2956,COR,Correction and Rehabilitation,Fulltime,Correctional Specialist III,12/27/2005
M,193163.3352,CEX,Offices of the County Executive,Fulltime,County Executive,12/01/1986
M,58738.57,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),08/11/2014
F,90950.31,POL,Department of Police,Fulltime,Police Officer III,08/31/1998
M,96697.4,REC,Department of Recreation,Fulltime,Accountant/Auditor III,03/26/2012
M,122367.8904,HCA,Department of Housing and Community Affairs,Fulltime,Senior Information Technology Specialist,02/16/1999
M,113487.75,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Lieutenant,02/06/1995
M,46166,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
M,89509.27,DPS,Department of Permitting Services,Fulltime,Senior Permitting Services Specialist,08/04/2008
M,141438.0144,FRS,Fire and Rescue Services,Fulltime,Fire/Rescue Battalion Chief,08/14/1989
M,60455,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,96678.252,DOT,Department of Transportation,Fulltime,Shift Supervisor Transportation Management Center,05/03/1993
F,45821.4966,LIB,Department of Public Libraries,Parttime,Library Assistant I,09/06/1989
M,68370.6,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,89487.72,DGS,Department of General Services,Fulltime,Equipment Maintenance Crew Chief,04/24/2000
M,67030,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/17/2008
M,45510.1254,DOT,Department of Transportation,Fulltime,Bus Operator,11/10/2014
F,86688.5121,FRS,Fire and Rescue Services,Fulltime,Program Manager II,10/19/2015
M,47089.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/02/2017
F,87107,DOT,Department of Transportation,Fulltime,Transit Marketing Specialist,06/26/2000
F,106230.2654,POL,Department of Police,Fulltime,Program Manager II,12/07/1987
F,82269,HHS,Department of Health and Human Services,Fulltime,Behavioral Health Associate Counselor,05/01/2000
M,58084.785,POL,Department of Police,Fulltime,Public Safety Communications Specialist III,05/20/2013
F,71669.3879,COR,Correction and Rehabilitation,Fulltime,Office Services Coordinator,12/19/1994
F,53737.68,HHS,Department of Health and Human Services,Fulltime,Social Worker II,08/07/2017
M,53806.74,POL,Department of Police,Fulltime,Police Officer III,07/11/2016
M,42483.8568,DOT,Department of Transportation,Fulltime,Bus Operator,12/12/2016
F,56741.58,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/14/2013
M,52672.06,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/10/2014
M,61399.8,POL,Department of Police,Fulltime,Police Officer III,08/12/2013
M,16453.01,POL,Department of Police,Parttime,Crossing Guard,06/12/2017
M,56911.4295,CEC,Community Engagement Cluster,Fulltime,Urban District Public Service Team Supervisor,06/03/1996
M,58209.36,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
F,53100.9246,OHR,Office of Human Resources,Fulltime,Administrative Specialist II,11/02/2015
M,69375,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,03/19/2007
M,147214.56,CAT,County Attorney's Office,Fulltime,Assistant County Attorney III,07/13/1992
M,65130.6645,DGS,Department of General Services,Fulltime,Automotive Parts Technician II,03/12/1980
M,80044.5,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,02/14/2000
F,107000,POL,Department of Police,Fulltime,Manager III,10/30/2017
F,106293.41,HHS,Department of Health and Human Services,Fulltime,Nurse Manager,10/01/2001
M,53274,POL,Department of Police,Fulltime,Police Officer III,01/09/2017
F,160454,HHS,Department of Health and Human Services,Fulltime,Manager II,09/15/2008
M,88761,POL,Department of Police,Fulltime,Police Officer III,06/24/2002
M,66535,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,05/29/2005
M,160454,CCL,County Council,Fulltime,Manager II,09/25/1989
M,63204.1443,DLC,Department of Liquor Control,Fulltime,Liquor Store Assistant Manager,10/30/2003
M,134895.42,CCL,County Council,Fulltime,Council Member,12/02/2002
F,44959.46,HHS,Department of Health and Human Services,Fulltime,Community Services Aide III,06/30/2015
F,103381.1,HHS,Department of Health and Human Services,Fulltime,Therapist II,05/07/1990
F,60514.15,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,08/17/1998
M,46166,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,12/11/2017
M,75412.4184,DOT,Department of Transportation,Fulltime,Transit Operations Supervisor,02/25/2013
M,68204.07,HHS,Department of Health and Human Services,Fulltime,Office Services Coordinator,11/26/2007
F,70270.86,FIN,Department of Finance,Fulltime,Office Services Coordinator,05/30/2000
M,74827.9,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,10/17/2005
F,58072.9282,HHS,Department of Health and Human Services,Parttime,School Health Room Technician I,05/19/1997
M,75511.5289,DGS,Department of General Services,Fulltime,Welder,02/03/2000
M,75057.22,COR,Correction and Rehabilitation,Fulltime,Correctional Officer III (Corporal),06/02/2003
M,54558.5992,DOT,Department of Transportation,Fulltime,Bus Operator,08/15/2005
M,82045.9057,DOT,Department of Transportation,Fulltime,Work Force Leader IV,09/02/1997
M,88527.32,FRS,Fire and Rescue Services,Fulltime,Firefighter/Rescuer III,01/23/1995
M,80870.7,DGS,Department of General Services,Fulltime,HVAC Mechanic II,08/20/2001
M,45256.253,DOT,Department of Transportation,Fulltime,Bus Operator,04/18/2011
M,107932.78,LIB,Department of Public Libraries,Fulltime,Manager III,10/28/2002
M,41046.9012,DOT,Department of Transportation,Fulltime,Bus Operator,11/01/2010
F,86973.3018,HHS,Department of Health and Human Services,Fulltime,Community Health Nurse II,01/27/2014
F,67847.6186,DGS,Department of General Services,Fulltime,Program Specialist I,06/13/2016
F,101313.478,LIB,Department of Public Libraries,Fulltime,Librarian II,08/12/1990
F,111217.995,SHF,Sheriff's Office,Fulltime,Deputy Sheriff Lieutenant,01/14/1991
F,84340,HHS,Department of Health and Human Services,Fulltime,Supervisory Social Worker,10/02/2017
F,38754.9,HHS,Department of Health and Human Services,Fulltime,Principal Administrative Aide,01/05/2009
M,91869,POL,Department of Police,Fulltime,Police Officer III,08/31/1998
M,92446.7718,FRS,Fire and Rescue Services,Fulltime,Information Technology Specialist II,05/02/2016
F,25862.0398,POL,Department of Police,Parttime,Crossing Guard,10/02/2000
F,131516.352,DTS,Department of Technology Services,Fulltime,Manager III,10/03/2005
F,100582.4078,POL,Department of Police,Fulltime,Information Technology Specialist III,11/16/2015
F,106293.41,FIN,Department of Finance,Fulltime,Senior Financial Specialist,09/26/2011
F,52207.4555,LIB,Department of Public Libraries,Parttime,Librarian II,11/23/1988
F,42280.0948,CAT,County Attorney's Office,Fulltime,Imaging Operator I,01/29/2007
F,118944.56,DTS,Department of Technology Services,Fulltime,Senior Information Technology Specialist,12/13/2004
F,120158.28,FIN,Department of Finance,Fulltime,Senior Information Technology Specialist,09/17/2007
M,60745.2986,DOT,Department of Transportation,Fulltime,Bus Operator,09/15/2002
F,99366.3,HHS,Department of Health and Human Services,Fulltime,Social Worker III,06/16/2003
